id,topic_id,difficulty,prompt,option_a,option_b,option_c,option_d,answer,image_url,explanation,created_at,type
1,1,1,"Find the number of nodes (n), branches (b), and loops (l) for the network in Figure below.","n=9, I=11, b=19","n=7, I=7, b=13","n=9, I=7, b=15","n=9, I=9, b=17","n=9, I=7, b=15",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ1.png?raw=true,NULL,45:00.6,mcq
2,1,1,"Calculate the current going through the voltage source (a) when the switch is in position 1, and (b) when the switch is in position 2.","(a) 300mA, (b) 400mA","(a) 800mA, (b) 300mA","(a) 400mA, (b) 600mA","(a) 400mA, (b) 300mA","(a) 400mA, (b) 300mA",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ2.png?raw=true,NULL,45:00.6,mcq
3,1,1,Determine the value of R in ohms. (Please round answer to 2 decimal places).,1.3,1.23,1.6,1.25,1.25,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ3.png?raw=true,NULL,45:00.6,mcq
4,1,1,"According to Ohm's Law, if the resistance in a circuit is doubled while the voltage remains constant, what happens to the current?",The current doubles.,The current remains the same.,The current is halved.,The current quadruples.,The current is halved.,NULL,NULL,45:00.6,mcq
5,1,1,Kirchhoff’s Current Law (KCL) is a direct consequence of which fundamental physical principle?,Conservation of Energy,Conservation of Charge,Conservation of Momentum,Newton's Third Law,Conservation of Charge,NULL,NULL,45:00.6,mcq
6,1,1,"In any closed loop of a circuit, the algebraic sum of all voltages (potential differences) must be equal to:",Zero,The supply voltage,The sum of the resistances,Infinity,Zero,NULL,NULL,45:00.6,mcq
7,1,1,"Using the passive sign convention, if the calculated power P=VI for a specific component is negative, what does this indicate?",The component is consuming energy.,The component is supplying energy to the circuit.,The component is behaving as a short circuit.,There is a calculation error.,The component is supplying energy to the circuit.,NULL,NULL,45:00.6,mcq
8,1,1,A Thevenin equivalent circuit consists of which two elements?,A current source in parallel with a resistor.,A voltage source in series with a resistor.,A voltage source in parallel with a capacitor.,An inductor in series with a resistor.,A voltage source in series with a resistor.,NULL,NULL,45:00.6,mcq
9,1,1,The Superposition Principle can only be applied to circuits that are:,Non-linear,Linear,Purely inductive,Powered by AC sources only,Linear,NULL,NULL,45:00.6,mcq
10,1,1,"How is the Norton resistance, R_n related to the Thevenin resistance, R_th for the same network?",R_n is the reciprocal of R_th.,R_n is the always double R_th.,R_n is the equal to R_th.,There is no mathematical relationship between them,R_n is the equal to R_th.,NULL,NULL,45:00.6,mcq
11,1,2,"For a DC circuit with a fixed source resistance R_s, maximum power is delivered to a load R_L when:",R_L = 0 (short circuit),R_L = infinity (open circuit),R_L = R_s,R_L = 1/2 of R_s,R_L = R_s,NULL,NULL,45:00.6,mcq
12,1,2,"Determine i1, i2, i3 in the circuit below.","i1=12, i2=0, i3=3","i1=13, i2=1, i3=2","i1=12, i2=0, i3=4","i1=13, i2=1, i3=3","i1=12, i2=0, i3=3",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ1.png?raw=true,NULL,45:00.6,mcq
13,1,2,"Find V1, V2, V3, V4 in the circuit below.","V1=8,V2=5,V3=2,V4=3","V1=-2,V2=-1,V3=-4,V4=9","V1=8,V2=5,V3=2,V4=4","V1=-2,V2=-1,V3=-4,V4=10","V1=-2,V2=-1,V3=-4,V4=9",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ2.png?raw=true,NULL,45:00.6,mcq
14,1,2,Determine V1 in the below circuit. (Please round answer to 2 decimal places).,25.85,25.32,26.18,26.19,26.18,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ3.png?raw=true,NULL,45:00.6,mcq
15,1,2,Calculate V and 𝑖𝑥 in the circuit below.,"V=-4,ix=8","V=4,ix=-3.33","V=-4,ix=9","V=4,ix=-3.34","V=4,ix=-3.33",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ4.png?raw=true,NULL,45:00.6,mcq
16,1,2,"Calculate v1, v2, and v3.","v1=-17,v2=5,v3=-9","v=-1,v2=-23,v3=9","v1=-17,v2=5,v3=-10","v=-2,v2=-23,v3=10","v=-1,v2=-23,v3=9",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ5.png?raw=true,NULL,45:00.6,mcq
17,1,2,Find Vx in Volts. (Please round answer to 2 decimal places).,5.14,5.595,6.047,6.499,5.14,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ6.png?raw=true,NULL,45:00.6,mcq
18,1,2,Find the equivalent resistance Req in the circuit below (in Ohms). (Please round answer to 2 decimal places).,75,81,87,83,83,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ7.png?raw=true,NULL,45:00.6,mcq
19,1,2,Find the equivalent resistance Req in the circuit below (in Ohms). (Please round answer to 2 decimal places).,41.14,48.76,42.62,45.55,42.62,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ8.png?raw=true,NULL,45:00.6,mcq
20,1,3,Calculate Vx in the circuit below.,10,11,12,9,10,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ9.png?raw=true,NULL,45:00.6,mcq
21,1,3,Find the power associated with the 25kΩ resistor (in kW). (Please round answer to 2 decimal places).,0.69,0.72,0.59,0.81,0.69,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ10.png?raw=true,NULL,45:00.6,mcq
22,1,3,"In the below circuit, calculate vo (in volts). (Please round answer to 2 decimal places).",0,-1,1,-5,0,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ11.png?raw=true,NULL,45:00.6,mcq
23,1,3,Find the equivalent resistance between a and b terminals. (Please round answer to 2 decimal places).,23.33,24.26,24.25,20.55,24.25,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ12.png?raw=true,NULL,45:00.6,mcq
