id,topicId,question,optionA,optionB,optionC,answer,explanation,pdfFile,pdfPage
101,1,Kirchhoff's Current Law (KCL) is based on conservation of:,Energy,Charge,Mass,Charge,Charge cannot be created or destroyed; it must flow out of a node if it flows in.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,27
102,1,Kirchhoff's Voltage Law (KVL) is based on conservation of:,Energy,Charge,Power,Energy,Voltage is energy per unit charge. Sum of energy gains/losses in a loop is zero.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,28
103,1,Ohm's Law states relation between:,"V, I, P","V, I, R","P, I, R","V, I, R","It relates Voltage (V), Current (I), and Resistance (R) as V = IR.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,24
104,1,Unit of Resistance is:,Siemens,Ohm,Henry,Ohm,Use Ohms (Ω) for resistance. Siemens is for conductance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,17
105,1,Unit of Conductance is:,Ohm,Siemens,Farad,Siemens,"Conductance is the reciprocal of resistance, measured in Siemens (S).",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,17
106,1,Reciprocal of Resistance is:,Inductance,Conductance,Reactance,Conductance,Conductance (G) = 1 / Resistance (R).,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
107,1,Ideal voltage source has internal resistance of:,Zero,Infinite,1 Ohm,Zero,"It maintains constant voltage regardless of current, implying zero series voltage drop (zero R).",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,6
108,1,Ideal current source has internal resistance of:,Zero,Infinite,1 MegaOhm,Infinite,"It maintains constant current regardless of voltage, implying no parallel leakage path (infinite R).",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,6
109,1,Nodes are points where:,Two or more elements meet,Only two elements meet,Ground exists,Two or more elements meet,Definition of a node.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,31
110,1,A loop is:,Any open path,Any closed path,A specific mesh,Any closed path,Starting and ending at the same node.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,28
111,1,A mesh is a loop that:,Contains no other loops,Contains at least one loop,Is very large,Contains no other loops,Property of planar circuits.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,28
112,1,Thevenin's Theorem reduces a linear circuit to:,Vth in parallel with Rth,Vth in series with Rth,Ith in series with Rth,Vth in series with Rth,Standard Thevenin equivalent.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
113,1,Norton's Theorem reduces a linear circuit to:,In in series with Rn,In in parallel with Rn,Vn in parallel with Rn,In in parallel with Rn,Standard Norton equivalent.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
114,1,Thevenin Resistance Rth is found by:,"Shorting voltage sources, opening current sources","Opening voltage sources, shorting current sources",Leaving sources on,"Shorting voltage sources, opening current sources",Deactivating independent sources.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
115,1,Superposition Theorem applies to:,Power,Voltage and Current,Non-linear elements,Voltage and Current,Linear responses only. Power is quadratic (non-linear).,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
116,1,Maximum Power Transfer occurs when Load R equals:,Zero,Source R,Infinite,Source R,Impedance matching condition.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,36
117,1,Efficiency at Maximum Power Transfer is:,100%,50%,75%,50%,"Half power dissipated in source, half in load.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,36
118,1,Source transformation converts V-source to:,I-source in series with R,I-source in parallel with R,V-source in parallel with R,I-source in parallel with R,V=IR relation holds.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,6
119,1,Two resistors in series have same:,Voltage,Check,Current,Current,Single path for charge flow.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,26
120,1,Two resistors in parallel have same:,Current,Voltage,Power,Voltage,Connected to same two nodes.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,26
