Stage,QuestionText,OptionA,OptionB,OptionC,OptionD,Correct,Image,,,,,,,,,,,,,,,,,,
Basic Laws,,,,,,,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ1,"Find the number of nodes (n), branches (b), and loops (l) for the network in Figure below.","n=9, I=11, b=19","n=7, I=7, b=13","n=9, I=7, b=15","n=9, I=9, b=17",c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ1.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ2,"Calculate the current going through the voltage source (a) when the switch is in position 1, and (b) when the switch is in position 2.","(a) 300mA, (b) 400mA","(a) 800mA, (b) 300mA","(a) 400mA, (b) 600mA","(a) 400mA, (b) 300mA",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ2.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ3,Determine the value of R in ohms. (Please round answer to 2 decimal places).,1.3,1.23,1.6,1.25,d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ3.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ4,"According to Ohm's Law, if the resistance in a circuit is doubled while the voltage remains constant, what happens to the current?",The current doubles.,The current remains the same.,The current is halved.,The current quadruples.,c,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ5,Kirchhoff’s Current Law (KCL) is a direct consequence of which fundamental physical principle?,Conservation of Energy,Conservation of Charge,Conservation of Momentum,Newton's Third Law,b,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ6,"In any closed loop of a circuit, the algebraic sum of all voltages (potential differences) must be equal to:",Zero,The supply voltage,The sum of the resistances,Infinity,a,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ7,"Using the passive sign convention, if the calculated power P=VI for a specific component is negative, what does this indicate?",The component is consuming energy.,The component is supplying energy to the circuit.,The component is behaving as a short circuit.,There is a calculation error.,b,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ8,A Thevenin equivalent circuit consists of which two elements?,A current source in parallel with a resistor.,A voltage source in series with a resistor.,A voltage source in parallel with a capacitor.,An inductor in series with a resistor.,b,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ9,The Superposition Principle can only be applied to circuits that are:,Non-linear,Linear,Purely inductive,Powered by AC sources only,b,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ10,"How is the Norton resistance, R_n related to the Thevenin resistance, R_th for the same network?",R_n is the reciprocal of R_th.,R_n is the always double R_th.,R_n is the equal to R_th.,There is no mathematical relationship between them,c,,,,,,,,,,,,,,,,,,,
W1_BasicLawsEasyQ11,"For a DC circuit with a fixed source resistance R_s, maximum power is delivered to a load R_L when:",R_L = 0 (short circuit),R_L = infinity (open circuit),R_L = R_s,R_L = 1/2 of R_s,c,,,,,,,,,,,,,,,,,,,
