id,topicId,question,optionA,optionB,optionC,answer,image,explanation,difficulty
101,1,"Find the number of nodes (n), branches (b), and loops (l) for the network in Figure below.","n=9, I=11, b=19","n=7, I=7, b=13","n=9, I=7, b=15","n=9, I=7, b=15",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ1.png?raw=true,,1
102,1,"Calculate the current going through the voltage source (a) when the switch is in position 1, and (b) when the switch is in position 2.","(a) 300mA, (b) 400mA","(a) 800mA, (b) 300mA","(a) 400mA, (b) 300mA","(a) 400mA, (b) 300mA",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ2.png?raw=true,,1
103,1,Determine the value of R in ohms. (Please round answer to 2 decimal places).,1.3,1.23,1.25,1.25,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsEasyQ3.png?raw=true,,1
104,1,"According to Ohm's Law, if the resistance in a circuit is doubled while the voltage remains constant, what happens to the current?",The current doubles.,The current remains the same.,The current is halved.,The current is halved.,,,1
105,1,Kirchhoff’s Current Law (KCL) is a direct consequence of which fundamental physical principle?,Conservation of Energy,Conservation of Charge,Conservation of Momentum,Conservation of Charge,,,1
106,1,"In any closed loop of a circuit, the algebraic sum of all voltages (potential differences) must be equal to:",Zero,The supply voltage,The sum of the resistances,Zero,,,1
107,1,"Using the passive sign convention, if the calculated power P=VI for a specific component is negative, what does this indicate?",The component is consuming energy.,The component is supplying energy to the circuit.,The component is behaving as a short circuit.,The component is supplying energy to the circuit.,,,1
108,1,A Thevenin equivalent circuit consists of which two elements?,A current source in parallel with a resistor.,A voltage source in series with a resistor.,A voltage source in parallel with a capacitor.,A voltage source in series with a resistor.,,,1
109,1,The Superposition Principle can only be applied to circuits that are:,Non-linear,Linear,Purely inductive,Linear,,,1
110,1,"How is the Norton resistance, R_n related to the Thevenin resistance, R_th for the same network?",R_n is the reciprocal of R_th.,R_n is the always double R_th.,R_n is the equal to R_th.,R_n is the equal to R_th.,,,1
111,1,"For a DC circuit with a fixed source resistance R_s, maximum power is delivered to a load R_L when:",R_L = 0 (short circuit),R_L = infinity (open circuit),R_L = R_s,R_L = R_s,,,1
112,1,"Determine i1, i2, i3 in the circuit below.","i1=12, i2=0, i3=3","i1=13, i2=1, i3=2","i1=12, i2=0, i3=4","i1=12, i2=0, i3=3",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ1.png?raw=true,,2
113,1,"Find V1, V2, V3, V4 in the circuit below.","V1=8,V2=5,V3=2,V4=3","V1=-2,V2=-1,V3=-4,V4=9","V1=8,V2=5,V3=2,V4=4","V1=-2,V2=-1,V3=-4,V4=9",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ2.png?raw=true,,2
114,1,Determine V1 in the below circuit. (Please round answer to 2 decimal places).,25.85,25.32,26.18,26.18,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ3.png?raw=true,,2
115,1,Calculate V and 𝑖𝑥 in the circuit below.,"V=-4,ix=8","V=4,ix=-3.33","V=-4,ix=9","V=4,ix=-3.33",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ4.png?raw=true,,2
116,1,"Calculate v1, v2, and v3.","v1=-17,v2=5,v3=-9","v=-1,v2=-23,v3=9","v1=-17,v2=5,v3=-10","v=-1,v2=-23,v3=9",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ5.png?raw=true,,2
117,1,Find Vx in Volts. (Please round answer to 2 decimal places).,5.14,5.60,6.05,5.14,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ6.png?raw=true,,2
118,1,Find the equivalent resistance Req in the circuit below (in Ohms). (Please round answer to 2 decimal places).,75,81,83,83,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ7.png?raw=true,,2
119,1,Find the equivalent resistance Req in the circuit below (in Ohms). (Please round answer to 2 decimal places).,41.14,48.76,42.62,42.62,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ8.png?raw=true,,2
120,1,Calculate Vx in the circuit below.,10,11,12,10,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ9.png?raw=true,,2
121,1,Find the power associated with the 25kΩ resistor (in kW). (Please round answer to 2 decimal places).,0.69,0.72,0.59,0.69,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ10.png?raw=true,,2
122,1,"In the below circuit, calculate vo (in volts). (Please round answer to 2 decimal places).",0,-1,1,0,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ11.png?raw=true,,2
123,1,Find the equivalent resistance between a and b terminals. (Please round answer to 2 decimal places).,23.33,24.26,24.25,24.25,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ12.png?raw=true,,2
124,1,"In the below circuit, determine Vo and the power absorbed by the dependent source.","V0 = -11.43, P = 574.7","V0 = -11.41, P = 574.8","V0 = -11.45, P = 575.01","V0 = -11.43, P = 574.7",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ1.png?raw=true,,3
125,1,Find i1 to i4 in the below circuit.,"i1 = –6.07, i2 = –1.64, i3 = –7.51, i4 = –2.77","i1 = –5.17, i2 = –2.54, i3 = –6.51, i4 = –3.77","i1 = –6.17, i2 = –1.54, i3 = –7.71, i4 = –2.57","i1 = –6.17, i2 = –1.54, i3 = –7.71, i4 = –2.57",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ2.png?raw=true,,3
126,1,Determine Vo and Io.,"Vo = 60.3 V, Io = 1.13 A","Vo = 52.4 V, Io = 0.67 A","Vo = 50 V, Io = 0 A","Vo = 50 V, Io = 0 A",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ3.png?raw=true,,3
127,1,Calculate V and I in the circuit below.,"V = 4.64V, I = 10.41A","V = 3.85V, I = 8.19A","V = 3.81V, I = 8.19A","V = 3.81V, I = 8.19A",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ4.png?raw=true,,3
128,1,Calculate the equivalent resistance between a and b terminals. All of the resistances are 60 Ω.,66.67,66.64,66.61,66.67,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ5.png?raw=true,,3
201,2,Find Leq in the circuit below. Assume L = 10mH,5,5.33,4.54,5,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEEasyQ1.png?raw=true,,1
202,2,"A circuit consisting of a DC voltage source, a resistor, and a capacitor has been connected for a very long time. In this steady-state condition, how does the capacitor behave in the circuit?",It acts as a short circuit,It acts as an open circuit.,It acts as a purely resistive element.,It acts as an open circuit.,,,1
203,2,An inductor with an inductance of L = 4mH has a steady current of I = 5A flowing through it. What is the total energy stored in the inductor's magnetic field?,10mJ,50mJ,100mJ,50mJ,,,1
204,2,A student connects two capacitors of 10microF in series. What is the equivalent capacitance of this combination?,20microF,10microF,5microF,5microF,,,1
205,2,"A switch in a circuit containing an inductor is suddenly opened at t=0. Which of the following statements is true regarding the inductor's current, i_L, the moment the switch is toggled?",The current immediately drops to zero.,The current reverses direction instantly.,The current cannot change instantaneously,The current cannot change instantaneously,,,1
206,2,The voltage across a parallel combination of 120 mF capacitor and a 15 Ω resistor is 45e^-2000t V. Calculate the power which is absorbed by this parallel combination.,-486000e^-4000t,-486020e^-4050t,-485865e^-4000t,-485865e^-4000t,,,2
207,2,The current through a 1 F capacitor is 8(2-e^-t) A. Determine the voltage and power at t = 3s. Assume v(0)= 0.,"V = 40.4, P = 630.31","V = 40.12, P = 630.32","V = 40.1, P = 630.31","V = 40.4, P = 630.31",,,2
